id,name,popularity,duration_ms,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
1UxoZkEPF75PMWwO17sbjw,She Was Just A Sailor's Sweetheart,0,204213,['George Olsen'],['45tQpWrlBy4DMpfAriqfcC'],01-07-1926,0.767,0.274,10.0,-12.206,1.0,0.041,0.981,0.000847,0.0527,0.755,112.914,4
1VBEwNSaDydKNPxaCkZoVO,Kapitel 299 - Der Page und die Herzogin,1,133239,"['Georgette Heyer', 'Irina Salkow']","['66pXJ6MhX37ZLneiwUWZf3', '3Lcu93LjKagluamCDOJc9R']",1926,0.633,0.203,9.0,-21.628,0.0,0.95,0.387,0.0,0.342,0.32,80.096,4
1VFTsvEUdlIpnGNyJDdNsj,Kapitel 2 - Der Page und die Herzogin,3,130626,"['Georgette Heyer', 'Irina Salkow']","['66pXJ6MhX37ZLneiwUWZf3', '3Lcu93LjKagluamCDOJc9R']",1926,0.767,0.16,5.0,-19.823,0.0,0.885,0.498,0.0,0.314,0.371,106.462,3
1VOC8dxLik8PX5VXEznx6a,Beso Ingrato - Remasterizado,0,197653,['Francisco Canaro'],['2maQMqxNnlRrBrS1oAsrX9'],12-07-1926,0.446,0.27,5.0,-12.509,1.0,0.0589,0.996,0.958,0.348,0.386,120.965,4
1VW5qi1mYiMFKUmj2udSBk,Kapitel 400 - Der Page und die Herzogin,1,125637,"['Georgette Heyer', 'Irina Salkow']","['66pXJ6MhX37ZLneiwUWZf3', '3Lcu93LjKagluamCDOJc9R']",1926,0.633,0.169,6.0,-22.123,1.0,0.941,0.529,0.0,0.26,0.353,169.821,3
1VWmqvVyDEawGO7P72LP81,Fosporerita - Remasterizado,0,184093,['Francisco Canaro'],['2maQMqxNnlRrBrS1oAsrX9'],15-07-1926,0.661,0.191,11.0,-12.884,0.0,0.0617,0.995,0.921,0.179,0.8,120.861,4
1Vfou9N7kqLpKkeQDwud6z,Kapitel 262 - Der Page und die Herzogin,1,116076,"['Georgette Heyer', 'Irina Salkow']","['66pXJ6MhX37ZLneiwUWZf3', '3Lcu93LjKagluamCDOJc9R']",1926,0.709,0.147,9.0,-21.121,1.0,0.931,0.447,0.0,0.338,0.394,81.511,5
1VgTzbSp3EI2pOdPpJw3Rz,Kapitel 170 - Der Page und die Herzogin,1,142329,"['Georgette Heyer', 'Irina Salkow']","['66pXJ6MhX37ZLneiwUWZf3', '3Lcu93LjKagluamCDOJc9R']",1926,0.711,0.183,9.0,-22.185,1.0,0.95,0.609,0.0,0.162,0.365,89.739,4
1VzGXKcpnnyfu8rekI4OfQ,Kapitel 312 - Der Page und die Herzogin,1,135067,"['Georgette Heyer', 'Irina Salkow']","['66pXJ6MhX37ZLneiwUWZf3', '3Lcu93LjKagluamCDOJc9R']",1926,0.72,0.166,4.0,-23.172,0.0,0.907,0.414,1.16e-06,0.173,0.314,112.331,5
1WApov2zknDCEYq7urvZvS,Weary Blues,3,178027,['Louis Armstrong & His Hot Seven'],['267SHEPfqnF16IEmwbLhLQ'],1926,0.778,0.325,5.0,-9.127,1.0,0.198,0.904,0.901,0.0849,0.963,102.568,4
1WgePPGJvL0Huy8Bw3Afv5,Kapitel 230 - Der Page und die Herzogin,1,150532,"['Georgette Heyer', 'Irina Salkow']","['66pXJ6MhX37ZLneiwUWZf3', '3Lcu93LjKagluamCDOJc9R']",1926,0.766,0.18,9.0,-21.499,0.0,0.938,0.422,0.0,0.401,0.248,82.445,4
1X2v5DDxpDPHUUEMtEkned,"Silent Night, Holy Night",0,152227,['Beniamino Gigli'],['78qb0nLAzypzePDYBGYl8F'],01-01-1926,0.193,0.294,1.0,-10.549,1.0,0.0319,0.975,7.09e-06,0.12,0.212,70.053,4
1X4cgE4ZhaPqWoBihvwNIF,Kapitel 377 - Der Page und die Herzogin,1,130783,"['Georgette Heyer', 'Irina Salkow']","['66pXJ6MhX37ZLneiwUWZf3', '3Lcu93LjKagluamCDOJc9R']",1926,0.724,0.18,0.0,-20.929,1.0,0.91,0.494,0.0,0.141,0.329,123.189,5
1YQVVucrhEodTVQ14qfrvo,La Tropilla - Remasterizado,0,154680,['Ignacio Corsini'],['5LiOoJbxVSAMkBS2fUm3X2'],25-04-1926,0.468,0.18,11.0,-20.761,1.0,0.0752,0.994,0.0436,0.462,0.498,107.507,3
1Yd4nnNTgD0w6sUoCDuttp,La Leçon De Charleston,0,134293,['Maurice Chevalier'],['3QXjI80udwDSEfxK5BjUXc'],1926,0.633,0.225,11.0,-15.277,1.0,0.311,0.993,0.0,0.325,0.786,118.591,4
1Yg2nYGy9OgwJi2d2HgK3p,My Cutey's Due At Two To Two Today - Alt. Version,0,151040,['Ted Weems & His Orchestra'],['7nQr572o0bqpK1LoX0Whan'],01-07-1926,0.893,0.314,5.0,-11.158,1.0,0.105,0.991,0.0111,0.091,0.891,115.647,4
1YoMYkPCiYrcze0u3ubBMq,María - Remasterizado,0,163947,['Ignacio Corsini'],['5LiOoJbxVSAMkBS2fUm3X2'],14-05-1926,0.349,0.23,5.0,-22.737,1.0,0.209,0.995,0.493,0.138,0.499,184.89,4
1ZSKbOLITqiZmCDrqgnikF,Kapitel 408 - Der Page und die Herzogin,1,132350,"['Georgette Heyer', 'Irina Salkow']","['66pXJ6MhX37ZLneiwUWZf3', '3Lcu93LjKagluamCDOJc9R']",1926,0.684,0.139,9.0,-23.484,1.0,0.953,0.627,0.0,0.202,0.242,75.879,1
